LGU,Category,Population,Government Efficiency,Resiliency,Land Use Plan,Disaster Risk Reduction Plan,Annual Disaster Drill,Early Warning System,Budget for DRRMP,Local Risk Assessment,Emergency Infrastructure,Brgy�count
Alaminos (LA),Third Class Municipality,51659,7.237,11.4187,1.9605,1.9524,1.0036,1.0138,0,2,0.4762,15
Bay,Second Class Municipality,62143,9.1306,11.3087,1.9412,1.8750,1.0032,1.0004,0.0350,2,0.4350,15
Binan,Component City,333028,10.5862,11.7705,1.9107,1.9286,1.0291,1.0174,0.1000,2,0.6585,24
Cabuyao,Component City,355330,9.0763,12.1967,1.9286,1.9762,1.0227,1.0047,0.0828,2,0.7854,18
Calamba (LA),Component City,454486,10.1778,11.8557,1.9286,1.9762,1.1408,1.0069,0.1044,2,0.5667,54
Calauan,Second Class Municipality,87693,9.3283,11.308,1.9559,1.8750,1.0032,1.0003,0.0347,2,0.4209,17
Cavinti,Third Class Municipality,23980,7.5064,10.3755,1.8684,1.9524,1.0018,1.0375,0,1.0000,0.5146,19
Famy,Fifth Class Municipality,16587,8.5284,11.4707,1.9865,1.9375,1.0089,1.0052,0.0000,2,0.4295,20
Kalayaan (LA),Third Class Municipality,23269,7.8427,11.2973,1.8947,1.9762,1.0036,1.0158,0,2,0.3661,3
Liliw,Fourth Class Municipality,39491,7.571,11.3821,1.9342,1.9762,1.0036,1.0040,0,2,0.4482,33
Los Banos,First Class Municipality,112008,9.3779,11.4688,1.9559,1.9167,1.0032,1.0022,0.0364,2,0.5302,14
Luisiana,Fourth Class Municipality,20859,7.4854,11.0974,1.9868,1.9762,1.0135,1.0099,0,2,0.0734,23
Lumban,Third Class Municipality,30652,5.9451,9.3584,1.9868,1.9762,1.0036,1.0079,0,0.0000,0.3760,16
Mabitac,Fifth Class Municipality,21275,7.3301,11.3799,1.8919,1.8125,1.0071,1.0521,0.0000,2,0.5348,15
Magdalena,Fourth Class Municipality,27816,6.809,11.5836,1.9737,1.9762,1.0036,1.1996,0,2,0.4205,24
Majayjay,Fourth Class Municipality,27893,6.9431,11.0403,1.9868,1.9524,1.0036,1.0316,0,2,0.0560,40
Nagcarlan,Second Class Municipality,63057,7.5978,11.5461,1.9559,1.9167,1.0040,1.0076,0.0306,2,0.4290,52
Paete,Fourth Class Municipality,25096,8.1499,11.2717,1.8947,1.9048,1.0018,1.0395,0,2,0.4007,9
Pagsanjan,Third Class Municipality,42164,8.3316,11.953,1.9342,1.9762,1.0614,1.0375,0,2,0.6299,16
Pakil,Fifth Class Municipality,24800,9.1994,11.6095,1.9595,1.8750,1.0071,1.1250,0.0000,2,0.3840,13
Pangil,Fourth Class Municipality,25026,6.5996,11.4801,1.9737,1.9762,1.0045,1.0119,0,2,0.4737,8
Pila,Third Class Municipality,54613,5.7735,11.08,1.9474,1.9524,1.0018,1.0040,0,2,0.1674,17
Rizal (LA),Fifth Class Municipality,18332,7.6267,11.3726,1.9730,1.9375,1.0071,1.0104,0.0000,2,0.3946,11
San Pablo (LA),Component City,285348,9.8805,11.7875,1.9821,1.9762,1.0772,1.0079,0.0954,2,0.5705,80
San Pedro,Component City,326001,9.6245,11.7326,1.9286,1.9762,1.0599,1.0062,0.0758,2,0.5916,27
Santa Cruz (LA),First Class Municipality,123574,9.7812,11.3238,1.9265,1.8750,1.0032,1.0009,0.0350,2,0.4274,26
Santa Maria (LA),Fourth Class Municipality,40667,8.3622,11.6041,1.8684,1.9286,1.0262,1.1225,0,2,0.6002,25
Santa Rosa (LA),Component City,414812,11.1886,11.6663,1.9107,1.9048,1.0064,1.1968,0.1064,2,0.5038,18
Siniloan,Second Class Municipality,42746,9.4962,11.4978,1.9853,1.9583,1.0032,1.0062,0.0350,2,0.3909,20
Victoria (LA),Fourth Class Municipality,46007,3.9451,11.3661,1.9211,1.9048,1.0000,1.0613,0,2,0.4113,9
