NAME_1	NAME_2	LGU	Population	Population Weight (50%)	Revenue	Revenue Weight (50%)	Total Percentage	Provincial Score		Resiliency	Land Use Plan	Disaster Risk Reduction Plan	Annual Disaster Drill	Early Warning System	Budget for DRRMP	Local Risk Assessment	Emergency Infrastructure
Laguna	Alaminos	Alaminos (LA)	51659	0.008	75683851.71	0.002	0.01	0.3423		11.4187	1.9605 	1.9524 	1.0036 	1.0138	0	2	0.4762 
Laguna	Bay	Bay	62143	0.01	58278249.65	0.002	0.011	0.3847		11.3087	1.9412 	1.8750 	1.0032 	1.0004 	0.0350 	2	0.4350 
Laguna	BiÃ±an	Binan	333028	0.052	1550591187	0.04	0.091	4.2084		11.7705	1.9107 	1.9286 	1.0291 	1.0174 	0.1000 	2	0.6585 
Laguna	Cabuyao	Cabuyao	355330	0.055	2842920693	0.073	0.128	4.8919		12.1967	1.9286 	1.9762 	1.0227 	1.0047 	0.0828 	2	0.7854 
Laguna	CalambaCity	Calamba (LA)	454486	0.071	2357361816	0.06	0.131	6.077		11.8557	1.9286	1.9762 	1.1408 	1.0069 	0.1044 	2	0.5667 
Laguna	Calauan	Calauan	87693	0.014	342728012.3	0.009	0.022	0.7295		11.308	1.9559 	1.8750 	1.0032 	1.0003 	0.0347 	2	0.4209 
Laguna	Cavinti	Cavinti	23980	0.004	195172948.3	0.005	0.009	0.2582		10.3755	1.8684 	1.9524 	1.0018 	1.0375 	0	1.0000 	0.5146 
Laguna	Famy	Famy	16587	0.003	8141059.52	0	0.003	0.1009		11.4707	1.9865 	1.9375 	1.0089 	1.0052 	0.0000 	2	0.4295 
Laguna	Kalayaan	Kalayaan (LA)	23269	0.004	166507611.4	0.004	0.008	0.226		11.2973	1.8947 	1.9762 	1.0036 	1.0158 	0	2	0.3661 
Laguna	Liliw	Liliw	39491	0.006	16852802.16	0	0.007	0.2116		11.3821	1.9342 	1.9762 	1.0036 	1.0040 	0	2	0.4482 
Laguna	LosBaÃ±os	Los Banos	112008	0.017	70179094.36	0.002	0.019	0.7112		11.4688	1.9559 	1.9167 	1.0032 	1.0022 	0.0364 	2	0.5302 
Laguna	Luisiana	Luisiana	20859	0.003	150704662.1	0.004	0.007	0.193		11.0974	1.9868 	1.9762 	1.0135 	1.0099 	0	2	0.0734 
Laguna	Lumban	Lumban	30652	0.005	182770621.9	0.005	0.01	0.2494		9.3584	1.9868 	1.9762 	1.0036 	1.0079 	0	0.0000 	0.3760 
Laguna	Mabitac	Mabitac	21275	0.003	105051543.8	0.003	0.006	0.1793		11.3799	1.8919 	1.8125 	1.0071 	1.0521 	0.0000 	2	0.5348 
Laguna	Magdalena	Magdalena	27816	0.004	166213864.1	0.004	0.009	0.2537		11.5836	1.9737 	1.9762 	1.0036 	1.1996 	0	2	0.4205 
Laguna	Majayjay	Majayjay	27893	0.004	164211244.4	0.004	0.009	0.2516		11.0403	1.9868 	1.9524 	1.0036 	1.0316 	0	2	0.0560 
Laguna	Nagcarlan	Nagcarlan	63057	0.01	30639587.07	0.001	0.011	0.3242		11.5461	1.9559 	1.9167 	1.0040 	1.0076 	0.0306 	2	0.4290 
Laguna	Paete	Paete	25096	0.004	13456951.75	0	0.004	0.1406		11.2717	1.8947 	1.9048 	1.0018 	1.0395	0	2	0.4007 
Laguna	Pagsanjan	Pagsanjan	42164	0.007	218968228.3	0.006	0.012	0.4584		11.953	1.9342 	1.9762 	1.0614 	1.0375 	0	2	0.6299 
Laguna	Pakil	Pakil	24800	0.004	137268266.6	0.004	0.007	0.2596		11.6095	1.9595 	1.8750 	1.0071 	1.1250 	0.0000 	2	0.3840 
Laguna	Pangil	Pangil	25026	0.004	180222722.4	0.005	0.009	0.2124		11.4801	1.9737 	1.9762 	1.0045 	1.0119	0	2	0.4737 
Laguna	Pila	Pila	54613	0.009	12853870.65	0	0.009	0.2744		11.08	1.9474 	1.9524 	1.0018 	1.0040 	0	2	0.1674 
Laguna	Rizal	Rizal (LA)	18332	0.003	18300467.03	0.001	0.003	0.1088		11.3726	1.9730 	1.9375 	1.0071 	1.0104 	0.0000 	2	0.3946 
Laguna	SanPabloCity	San Pablo (LA)	285348	0.044	1851624726	0.047	0.092	3.549		11.7875	1.9821 	1.9762 	1.0772 	1.0079 	0.0954 	2	0.5705 
Laguna	SanPedro	San Pedro	326001	0.051	2545311175	0.065	0.115	4.7591		11.7326	1.9286 	1.9762 	1.0599 	1.0062 	0.0758 	2	0.5916 
Laguna	SantaCruz	Santa Cruz (LA)	123574	0.019	502507637.7	0.013	0.032	1.1216		11.3238	1.9265 	1.8750 	1.0032 	1.0009 	0.0350 	2	0.4274 
Laguna	SantaMaria	Santa Maria (LA)	40667	0.006	189424695	0.005	0.011	0.3733		11.6041	1.8684 	1.9286 	1.0262 	1.1225 	0	2	0.6002 
Laguna	SantaRosaCity	Santa Rosa (LA)	414812	0.064	4970354460	0.127	0.191	8.5219		11.6663	1.9107 	1.9048 	1.0064 	1.1968 	0.1064 	2	0.5038 
Laguna	Siniloan	Siniloan	42746	0.007	242377713.3	0.006	0.013	0.4437		11.4978	1.9853 	1.9583 	1.0032 	1.0062 	0.0350 	2	0.3909 
Laguna	Victoria	Victoria (LA)	46007	0.007	251766610.1	0.006	0.014	0.3368		11.3661	1.9211 	1.9048 	1.0000 	1.0613	0	2	0.4113 
