LGU,Category,Score,Population,Population Weight (50%),Revenue,Revenue Weight (50%),Total Percentage,Provincial Score,Population_Growth,Economic Dynamism,Government Efficiency,Infrastructure,Resiliency,Land Use Plan,Disaster Risk Reduction Plan,Annual Disaster Drill,Early Warning System,Budget for DRRMP,Local Risk Assessment,Emergency Infrastructure,Utilities,Employed Population,Sanitary System,Innovation,Brgy count,Estimated elevation above sea level (FEET)
Alaminos (LA),Third Class Municipality,34.5807,51659,0.008,75683851.71,0.002,0.01,0.3423,1.61,5.129,7.237,3.7536,11.4187,1.9605 ,1.9524 ,1.0036 ,1.0138,0,2,0.4762 ,1.5078 ,0.0043 ,1.5001 ,7.0424,15,511.4
Bay,Second Class Municipality,34.6533,62143,0.01,58278249.65,0.002,0.011,0.3847,1.66,4.2466,9.1306,2.7503,11.3087,1.9412 ,1.8750 ,1.0032 ,1.0004 ,0.0350 ,2,0.4350 ,1.5063 ,0.0023 ,1.5103 ,7.1811,15,32
Binan,Component City,46.1444,333028,0.052,1550591187,0.04,0.091,4.2084,4.34,8.8461,10.5862,4.7384,11.7705,1.9107 ,1.9286 ,1.0291 ,1.0174 ,0.1000 ,2,0.6585 ,1.5264 ,0.0339 ,1.5659,10.2032,24,38.7
Cabuyao,Component City,38.3077,355330,0.055,2842920693,0.073,0.128,4.8919,3,5.3098,9.0763,5.9371,12.1967,1.9286 ,1.9762 ,1.0227 ,1.0047 ,0.0828 ,2,0.7854 ,1.4664 ,0.3895 ,1.5404 ,5.7878,18,54
Calamba (LA),Component City,46.4959,454486,0.071,2357361816,0.06,0.131,6.077,3.68,7.8229,10.1778,6.5202,11.8557,1.9286,1.9762 ,1.1408 ,1.0069 ,0.1044 ,2,0.5667 ,1.5525 ,0.0232 ,1.5564 ,10.1193,54,51.8
Calauan,Second Class Municipality,32.7138,87693,0.014,342728012.3,0.009,0.022,0.7295,1.83,3.5054,9.3283,2.5926,11.308,1.9559 ,1.8750 ,1.0032 ,1.0003 ,0.0347 ,2,0.4209 ,1.5038 ,0.0135 ,1.5007 ,5.9679,17,72
Cavinti,Third Class Municipality,29.6835,23980,0.004,195172948.3,0.005,0.009,0.2582,2.12,3.7289,7.5064,2.7516,10.3755,1.8684 ,1.9524 ,1.0018 ,1.0375 ,0,1.0000 ,0.5146 ,1.4988 ,0.0018 ,1.5002 ,5.3211,19,717.2
Famy,Fifth Class Municipality,36.0216,16587,0.003,8141059.52,0,0.003,0.1009,0.26,5.3978,8.5284,4.9481,11.4707,1.9865 ,1.9375 ,1.0089 ,1.0052 ,0.0000 ,2,0.4295 ,1.5304 ,0.0641 ,1.5086 ,5.6766,20,28.2
Kalayaan (LA),Third Class Municipality,28.9726,23269,0.004,166507611.4,0.004,0.008,0.226,1.31,3.6667,7.8427,2.5766,11.2973,1.8947 ,1.9762 ,1.0036 ,1.0158 ,0,2,0.3661 ,1.5030 ,0.0373 ,1.5006 ,3.5893,3,31.2
Liliw,Fourth Class Municipality,32.5482,39491,0.006,16852802.16,0,0.007,0.2116,1.62,4.7905,7.571,2.686,11.3821,1.9342 ,1.9762 ,1.0036 ,1.0040 ,0,2,0.4482 ,1.5097 ,0.0061 ,1.5001 ,6.1186,33,869.1
Los Banos,First Class Municipality,37.0394,112008,0.017,70179094.36,0.002,0.019,0.7112,0.62,5.1482,9.3779,3.9638,11.4688,1.9559 ,1.9167 ,1.0032 ,1.0022 ,0.0364 ,2,0.5302 ,1.4995 ,0.0175 ,1.5072 ,7.0616,14,72.3
