,NAME_1,NAME_2,LGU,geometry,Disaster Risk Reduction Plan,Annual Disaster Drill,Early Warning System,Budget for DRRMP,Local Risk Assessment,Emergency Infrastructure,Disaster Preparedness Overall Score,Ranking
0,Laguna,Alaminos,Alaminos (LA),"MULTIPOLYGON (((121.2258 14.0087, 121.216 14.0277, 121.2132 14.0408, 121.2134 14.0561, 121.2097 14.0882, 121.2159 14.0865, 121.2255 14.0806, 121.2338 14.0727, 121.2402 14.0717, 121.2467 14.0765, 121.2526 14.0768, 121.2599 14.0811, 121.2639 14.0893, 121.2603 14.0975, 121.2621 14.0992, 121.281 14.0903, 121.2725 14.0813, 121.2734 14.0767, 121.271 14.0736, 121.2747 14.0726, 121.273 14.0669, 121.2764 14.0675, 121.2782 14.065, 121.2785 14.0664, 121.2819 14.0663, 121.2832 14.0678, 121.2862 14.0664, 121.2879 14.064, 121.2872 14.0611, 121.2893 14.0559, 121.2877 14.0535, 121.2899 14.0512, 121.2884 14.05, 121.2882 14.0467, 121.2823 14.0453, 121.2753 14.0497, 121.2749 14.047, 121.2788 14.0455, 121.2772 14.044, 121.2779 14.0429, 121.2802 14.0446, 121.281 14.0433, 121.2786 14.0411, 121.2795 14.0396, 121.2833 14.0376, 121.2789 14.0351, 121.2772 14.029, 121.2729 14.0253, 121.2752 14.024, 121.2741 14.0215, 121.2752 14.0193, 121.2734 14.0162, 121.2709 14.016, 121.2698 14.0129, 121.2666 14.0137, 121.2641 14.0063, 121.2605 14.0028, 121.2591 14.0043, 121.2513 13.9989, 121.2517 13.9958, 121.2496 13.9953, 121.2487 13.9932, 121.2392 13.9915, 121.2258 14.0087)))",1.9524,1.0036,1.0138,0.0,2.0,0.4762,6.446000000000001,12
1,Laguna,Bay,Bay,"MULTIPOLYGON (((121.2061 14.1059, 121.2053 14.1108, 121.2317 14.1365, 121.2367 14.1403, 121.24 14.1386, 121.2531 14.1431, 121.2607 14.1508, 121.266 14.1641, 121.2645 14.1662, 121.2655 14.1748, 121.2601 14.1922, 121.2657 14.19, 121.2744 14.1948, 121.2839 14.1969, 121.2858 14.1956, 121.2916 14.1957, 121.2938 14.1971, 121.3009 14.1789, 121.299 14.1725, 121.2947 14.1696, 121.2974 14.1631, 121.2943 14.1519, 121.2848 14.1456, 121.2804 14.1397, 121.2661 14.1283, 121.2593 14.1244, 121.2597 14.1201, 121.2558 14.1159, 121.2442 14.1181, 121.2328 14.1099, 121.2289 14.1059, 121.2205 14.0891, 121.2173 14.0856, 121.2097 14.0882, 121.2061 14.1059)))",1.875,1.0032,1.0004,0.035,2.0,0.435,6.3486,22
2,Laguna,Biñan,Binan,"MULTIPOLYGON (((121.0509 14.2431, 121.0425 14.2411, 121.0375 14.244, 121.0356 14.248, 121.0372 14.257, 121.0406 14.2633, 121.0402 14.2705, 121.0416 14.2755, 121.0464 14.2785, 121.05 14.294, 121.0553 14.2973, 121.0598 14.3029, 121.064 14.3123, 121.0668 14.3141, 121.0692 14.3204, 121.0701 14.3302, 121.0616 14.3241, 121.0495 14.3289, 121.0295 14.3243, 121.0089 14.3117, 121.0069 14.3154, 121.0127 14.3229, 121.0217 14.3267, 121.0353 14.338, 121.0445 14.3404, 121.0458 14.3391, 121.0557 14.3401, 121.0782 14.3533, 121.0837 14.3546, 121.0857 14.3577, 121.087 14.3518, 121.0892 14.3507, 121.099 14.3355, 121.0977 14.3348, 121.0976 14.3236, 121.0926 14.3174, 121.0925 14.312, 121.0951 14.306, 121.0942 14.2985, 121.0905 14.2937, 121.091 14.2921, 121.0863 14.2894, 121.0847 14.2845, 121.0707 14.2755, 121.0585 14.2628, 121.0561 14.2588, 121.0563 14.25, 121.0547 14.2451, 121.053 14.2425, 121.0509 14.2431)))",1.9286,1.0291,1.0174,0.1,2.0,0.6585,6.7336,3
3,Laguna,Cabuyao,Cabuyao,"MULTIPOLYGON (((121.0454 14.216, 121.0471 14.2178, 121.0555 14.2172, 121.0615 14.2206, 121.0645 14.2203, 121.0687 14.2244, 121.0855 14.231, 121.1019 14.2603, 121.1072 14.2661, 121.1132 14.2697, 121.1156 14.276, 121.1209 14.2788, 121.1265 14.2892, 121.1253 14.2936, 121.1283 14.2982, 121.1336 14.2923, 121.1375 14.2911, 121.148 14.2786, 121.163 14.2652, 121.165 14.2624, 121.1702 14.2442, 121.1729 14.2399, 121.1341 14.2281, 121.1336 14.2326, 121.1315 14.2341, 121.1266 14.2362, 121.1185 14.2349, 121.1163 14.2366, 121.1063 14.2287, 121.0925 14.2261, 121.0686 14.215, 121.0469 14.2023, 121.0421 14.2035, 121.0332 14.2022, 121.0336 14.2059, 121.0387 14.208, 121.0386 14.2117, 121.0454 14.216)), ((121.1336 14.2959, 121.1318 14.299, 121.1335 14.3001, 121.134 14.2977, 121.1386 14.2954, 121.1358 14.2928, 121.1336 14.2959)))",1.9762,1.0227,1.0047,0.0828,2.0,0.7854,6.8717999999999995,1
4,Laguna,CalambaCity,Calamba (LA),"MULTIPOLYGON (((121.0771 14.1582, 121.052 14.1576, 121.0427 14.1544, 121.0406 14.1576, 121.0387 14.1631, 121.0448 14.1753, 121.0436 14.1877, 121.0453 14.1904, 121.0451 14.1985, 121.0487 14.2037, 121.0925 14.2261, 121.1063 14.2287, 121.1163 14.2366, 121.1185 14.2349, 121.1266 14.2362, 121.1315 14.2341, 121.1336 14.2326, 121.1341 14.2281, 121.1729 14.2399, 121.1823 14.2381, 121.1829 14.2345, 121.1853 14.2319, 121.1866 14.2208, 121.1901 14.2181, 121.185 14.2155, 121.1833 14.2125, 121.1825 14.2054, 121.1838 14.1981, 121.1781 14.1991, 121.1767 14.196, 121.1821 14.1874, 121.1844 14.1882, 121.1864 14.1867, 121.189 14.1892, 121.1955 14.1832, 121.1992 14.1837, 121.2023 14.1863, 121.1994 14.1725, 121.1897 14.1623, 121.1715 14.1381, 121.1534 14.1423, 121.1506 14.1411, 121.1373 14.145, 121.1346 14.1452, 121.1307 14.1425, 121.1192 14.1527, 121.113 14.1535, 121.1076 14.1568, 121.0771 14.1582)))",1.9762,1.1408,1.0069,0.1044,2.0,0.5667,6.795,2
5,Laguna,Calauan,Calauan,"MULTIPOLYGON (((121.2358 14.0732, 121.2338 14.0727, 121.2255 14.0806, 121.2173 14.0856, 121.2205 14.0891, 121.2289 14.1059, 121.2328 14.1099, 121.2442 14.1181, 121.2558 14.1159, 121.2597 14.1201, 121.2593 14.1244, 121.2661 14.1283, 121.2804 14.1397, 121.2848 14.1456, 121.2943 14.1519, 121.2974 14.1631, 121.2947 14.1696, 121.299 14.1725, 121.3009 14.1789, 121.293 14.1978, 121.2996 14.2022, 121.3009 14.1952, 121.3117 14.1953, 121.315 14.1931, 121.3175 14.1863, 121.3207 14.1833, 121.3274 14.1834, 121.3332 14.1863, 121.3371 14.1857, 121.3392 14.1871, 121.3654 14.15, 121.3567 14.1477, 121.3454 14.1472, 121.3328 14.1292, 121.3354 14.1249, 121.3333 14.1218, 121.3221 14.1199, 121.3212 14.1145, 121.3228 14.1125, 121.3129 14.1046, 121.2988 14.1119, 121.2893 14.1043, 121.2821 14.0942, 121.281 14.0903, 121.2621 14.0992, 121.2603 14.0975, 121.2639 14.0893, 121.2599 14.0811, 121.2526 14.0768, 121.2467 14.0765, 121.2402 14.0717, 121.2358 14.0732)))",1.875,1.0032,1.0003,0.0347,2.0,0.4209,6.334099999999999,25
6,Laguna,Cavinti,Cavinti,"MULTIPOLYGON (((121.5051 14.219, 121.4808 14.2156, 121.4754 14.2342, 121.4742 14.2475, 121.4775 14.2566, 121.4882 14.2666, 121.4937 14.2669, 121.502 14.2634, 121.5135 14.2674, 121.5148 14.2643, 121.5157 14.2661, 121.5199 14.2647, 121.52 14.2661, 121.5248 14.2656, 121.5297 14.2673, 121.5354 14.2651, 121.5371 14.2675, 121.5372 14.2657, 121.5426 14.2666, 121.5427 14.2653, 121.5543 14.2647, 121.5743 14.2665, 121.5839 14.2689, 121.6015 14.2782, 121.6191 14.2882, 121.6299 14.2969, 121.6321 14.2861, 121.6307 14.274, 121.6324 14.2669, 121.6305 14.2612, 121.6144 14.2469, 121.6086 14.2323, 121.5886 14.1968, 121.5316 14.2165, 121.5187 14.219, 121.5051 14.219)))",1.9524,1.0018,1.0375,0.0,1.0,0.5146,5.5062999999999995,29
7,Laguna,Famy,Famy,"MULTIPOLYGON (((121.4572 14.4304, 121.4507 14.4297, 121.4434 14.4161, 121.4402 14.4066, 121.4421 14.4008, 121.4411 14.3992, 121.4368 14.4, 121.439 14.4183, 121.4356 14.4301, 121.4369 14.435, 121.4406 14.4377, 121.4448 14.4378, 121.4515 14.4489, 121.4503 14.453, 121.4557 14.4607, 121.4681 14.4661, 121.4711 14.481, 121.4851 14.4882, 121.4918 14.4997, 121.4971 14.4996, 121.5119 14.5059, 121.5151 14.4907, 121.5241 14.472, 121.4948 14.4533, 121.4745 14.4463, 121.4589 14.4341, 121.4572 14.4304)))",1.9375,1.0089,1.0052,0.0,2.0,0.4295,6.3811,18
8,Laguna,Kalayaan,Kalayaan (LA),"MULTIPOLYGON (((121.5574 14.314, 121.5468 14.3113, 121.5388 14.3123, 121.5223 14.3186, 121.5122 14.3206, 121.5013 14.3201, 121.4867 14.3158, 121.4782 14.316, 121.4688 14.3193, 121.4727 14.335, 121.476 14.3392, 121.4784 14.3485, 121.6254 14.3585, 121.6248 14.3481, 121.6087 14.3416, 121.6042 14.3416, 121.6017 14.3385, 121.5987 14.3392, 121.5827 14.3313, 121.5691 14.3186, 121.5574 14.314)))",1.9762,1.0036,1.0158,0.0,2.0,0.3661,6.3617,20
9,Laguna,Liliw,Liliw,"MULTIPOLYGON (((121.4673 14.0841, 121.4525 14.0962, 121.4333 14.1217, 121.4217 14.1468, 121.4219 14.1522, 121.4187 14.1559, 121.4156 14.1566, 121.4166 14.1664, 121.4147 14.1733, 121.4155 14.1771, 121.4007 14.1771, 121.398 14.1797, 121.3978 14.1827, 121.4022 14.1848, 121.4035 14.1871, 121.4039 14.1934, 121.4148 14.1931, 121.4189 14.1895, 121.4193 14.1842, 121.4371 14.1726, 121.438 14.1688, 121.4472 14.1556, 121.4493 14.1464, 121.4553 14.1365, 121.4611 14.1204, 121.4688 14.1141, 121.4717 14.1059, 121.4787 14.0995, 121.484 14.0984, 121.4853 14.0967, 121.4925 14.0747, 121.4834 14.0703, 121.4802 14.0716, 121.4673 14.0841)))",1.9762,1.0036,1.004,0.0,2.0,0.4482,6.432,13
10,Laguna,LosBaños,Los Banos,"MULTIPOLYGON (((121.1977 14.126, 121.1942 14.1322, 121.1864 14.1369, 121.1715 14.1381, 121.1897 14.1623, 121.1994 14.1725, 121.2023 14.1863, 121.2037 14.1869, 121.212 14.1806, 121.2199 14.1823, 121.2332 14.1902, 121.2341 14.1927, 121.232 14.1912, 121.2326 14.193, 121.2365 14.1996, 121.247 14.1934, 121.2601 14.1922, 121.2655 14.1748, 121.2645 14.1662, 121.2659 14.1622, 121.2607 14.1508, 121.2562 14.1451, 121.2482 14.1408, 121.24 14.1386, 121.2367 14.1403, 121.2053 14.1108, 121.1977 14.126)))",1.9167,1.0032,1.0022,0.0364,2.0,0.5302,6.488700000000001,10
11,Laguna,Luisiana,Luisiana,"MULTIPOLYGON (((121.5134 14.1534, 121.5073 14.1541, 121.5026 14.1575, 121.4824 14.1826, 121.4638 14.2021, 121.4594 14.2114, 121.4919 14.2177, 121.5187 14.219, 121.5316 14.2165, 121.5886 14.1968, 121.5648 14.1708, 121.5554 14.1672, 121.5525 14.1685, 121.5497 14.1725, 121.5483 14.1719, 121.5359 14.1639, 121.5224 14.1471, 121.5134 14.1534)))",1.9762,1.0135,1.0099,0.0,2.0,0.0734,6.073,27
